HTTrack3.49-2+htsswf+htsjava launched on Mon, 23 Feb 2026 10:01:34 at https://mauritius.holidays.io/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" https://mauritius.holidays.io/ -O1 "F:\Mehul\Projects\Hio\website\HIO" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

10:09:40	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/sailing-south-catamaran/images/speed-boat-trip-south-east-mauritius.jpg (from https://mauritius.holidays.io/sailing-south-catamaran/tours_booking?date=23-02-2026&a=2&c=0)
10:09:40	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/grand-bay-suites/accm_roomrate?ci=23-02-2026&co=25-02-2026&a=2&c=2 (from https://mauritius.holidays.io/grand-bay-suites)
10:09:40	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/grand-bay-suites/images/favicon.ico (from https://mauritius.holidays.io/grand-bay-suites/accm_location?ci=23-02-2026&co=25-02-2026&a=2&c=2)
10:09:40	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/grand-bay-suites/web/images/ico/market-mauritius-mahebourg.jpg (from https://mauritius.holidays.io/grand-bay-suites/accm_location?ci=23-02-2026&co=25-02-2026&a=2&c=2)
10:09:40	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/la-case-du-pecheur/images/favicon.ico (from https://mauritius.holidays.io/la-case-du-pecheur/accm_roomrate?ci=23-02-2026&co=25-02-2026&a=2&c=2)
10:09:40	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/la-case-du-pecheur/web/images/ico/market-mauritius-mahebourg.jpg (from https://mauritius.holidays.io/la-case-du-pecheur/accm_roomrate?ci=23-02-2026&co=25-02-2026&a=2&c=2)
10:09:40	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/sandy-cove-villa/images/favicon.ico (from https://mauritius.holidays.io/sandy-cove-villa/accm_roomrate?ci=23-02-2026&co=25-02-2026&a=2&c=2)
10:09:40	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/sandy-cove-villa/web/images/ico/market-mauritius-mahebourg.jpg (from https://mauritius.holidays.io/sandy-cove-villa/accm_roomrate?ci=23-02-2026&co=25-02-2026&a=2&c=2)
10:09:41	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/gold-coast-villas/images/favicon.ico (from https://mauritius.holidays.io/gold-coast-villas/accm_roomrate?ci=23-02-2026&co=25-02-2026&a=2&c=2)
10:09:41	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/gold-coast-villas/web/images/ico/market-mauritius-mahebourg.jpg (from https://mauritius.holidays.io/gold-coast-villas/accm_roomrate?ci=23-02-2026&co=25-02-2026&a=2&c=2)
10:09:41	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/terms_of_use (from https://mauritius.holidays.io/gold-coast-villas/accm_roomrate?ci=23-02-2026&co=25-02-2026&a=2&c=2)
10:09:41	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/7-cascades-test/images/favicon.ico (from https://mauritius.holidays.io/7-cascades-test/accm_roomrate?ci=23-02-2026&co=25-02-2026&a=2&c=2)
10:09:41	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/anelia-resort-spa/images/favicon.ico (from https://mauritius.holidays.io/anelia-resort-spa/accm_roomrate?ci=23-02-2026&co=25-02-2026&a=2&c=2)
10:09:41	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/anelia-resort-spa/web/images/ico/market-mauritius-mahebourg.jpg (from https://mauritius.holidays.io/anelia-resort-spa/accm_roomrate?ci=23-02-2026&co=25-02-2026&a=2&c=2)
10:09:42	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/laguna-beach-hotel/images/favicon.ico (from https://mauritius.holidays.io/laguna-beach-hotel/accm_roomrate?ci=23-02-2026&co=25-02-2026&a=2&c=2)
10:09:42	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/laguna-beach-hotel/web/images/ico/market-mauritius-mahebourg.jpg (from https://mauritius.holidays.io/laguna-beach-hotel/accm_roomrate?ci=23-02-2026&co=25-02-2026&a=2&c=2)
